Date,Text_clean,Sentiment
2020-12-31,Discovered Ash through  streams and I fucken love her shes so nice and funny ,positive
2020-12-31,yall should follow ashshe deserves way more hype amp should be given tons of love and supportfollow on twitter too Ash ,positive
2020-12-31,Ash ,negative
2020-12-31,Yaaaay Ash in Among Us ,positive
2020-12-31,Ash ,negative
2020-12-31,Ash hiiii ash ,positive
2020-12-31,Ash Happy new year Ash ,positive
2020-12-31,Ash Hello Ash  super cool aussie streamer,positive
2020-12-31,Ash period ash,negative
2020-12-31,Ash Already signed up Cant wait for my iq to raise up in double digits after all the the audiobooks Ill be listening to ,positive
2020-12-31,Ash happy new year ash  ,positive
2020-12-31,Ash SPONSOR HECK YEAH,positive
2020-12-31,Ash Yayayayay congrats ,positive
2020-12-31,Ash Ye yeyeyeye,positive
2020-12-31,Ash ,negative
2020-12-31,Ash Happy new year and day ashhhhh,positive
2020-12-31,Ash It would be cool if u started streaming tmr and said youve been gone for a year,positive
2020-12-31,Ash If you narrated some books I would definitely listen,positive
2020-12-31,Ash Congrats Maby i will finally check it out,positive
2020-12-31,Ash looks interesting O,positive
2020-12-31,Ash nice well deserved,positive
2020-12-31,Ash congratulations on the sponsor ash ,positive
2020-12-31,Ash PogU,negative
2020-12-31,This month streams will be sponsored by Audible  Support me and check out Audible out by clicking here  OR texting ash to 500500   Thanks Audible for the amazing opportunity  ad,positive
2020-12-31,Hey Ash have the best day ever Happy new year  hope ur doing well ,positive
2020-12-31,HAPPY NEW YEAR Husband     Ash SepticEye     praisebingus bingus ,positive
2020-12-31,Ash Happy new year ash,positive
2020-12-31,Ash You helped make my 2020 better I hope 2021 is everything you need it to be,positive
2020-12-31,Ash Get well soooonnn,positive
2020-12-31,Ash You are awesome ash I appreciate the love you show on the OTV rust server Things will get better Head up,positive
2020-12-31,Ash Happy New Year,positive
2020-12-31,Ash Yes if you ever need me to simp for you then Ill be there in a heartbeat homie,positive
2020-12-31,Ash I hate still being in 2020,negative
2020-12-31,Ash Have a great day Ash and take care of yourself ,positive
2020-12-31,Ash Hope youre feeling better,positive
2020-12-31,Ash HNY Ash,positive
2020-12-31,Ash Happy new year ash ,positive
2020-12-31,Ash You are a national treasure ,positive
2020-12-31,   SepticEye Ash  Husband This is so fuckingggg cool omg ,positive
