Date,Text_clean,Sentiment
2020-12-31,Love the look of VERI  Lets see what happens next week ,positive
2020-12-31,3 of 3Holdings with highest gains as of 31DecBLNK 2802VERI 1247CELH 1056LMND 913GRWG 753KIRK 704TSLA 692GP 502CRSP 476ROKU 473OIIM 457PTON 456FTCH 428TWST 423CRWD 412DQ 381PLUG 372,positive
2020-12-31,What a blessings this year has been Exposed to covid19 multiple times but never infected All family were safe And also turned my 5 digits accounts to 6 digits with 125 aggregate return Big thanks to NIO VERI UPWK SFIX KBNT NNDM,positive
2020-12-31, Im still undecided until Monday but leaning VERI,positive
2020-12-31,trader Lots of folks holding worthless bags of XRP looking for the next greater fool Yes there may be a chance of reaching all time highs once again but no guarantees Does anyone remember VERI No coin or stock is 100 protected from the goons at the SEC,negative
2020-12-31,NIO VERI PLUG Join the winning team and make 34 figures a day with our stocks signalsWe cover all asset classes and many timeframesYou wont need to work on the signals anymorebti stocks NYSE NASDAQRequest your trial for 10 only   ,positive
2020-12-31, nice VERI chart ive been posting frequent updates on my profile Ive had a position since earlymidNovember,positive
2020-12-30,VERI company profile Fundamental and Technical Analysis Score Update FA Score TA Score stocks stock StockMarket Investment investing invest investor investors  ,positive
2020-12-30,VERI  UPDATE Clawing back 21 amp 55 EMA are coiled on 1hr candles great for trend following Price gt 21 gt 55 EMA indicating potential momentum I am not adding here wary of potential downside As mentioned below bullish HampS is starting to become more clear Gain 5 today  ,positive
2020-12-30,VERIMarket Cap 835MIncome 50MSales 53MSYNC Market Cap 59MIncome 12MSales 84MBoth have institutional ownership around 30,neutral
2020-12-30,VERI Dancing around the vwap from the gap up  ,positive
2020-12-30,20 DMA Support today VERI TDSB PASG RUBY SMLV CCNE AGCUU BE HMHC CLSD BBU DIAX TMV BRFS TBT CHPM FHTX OPCH GOCO UTL  ,positive
2020-12-30,Some market observations in my universe of stocks I track 10 best today were BABA SNAP JD NIO SE CDLX NFLX SHOP FVRR BAND while 10 worst were SQ WGO VERI APPS LOB SPWR RUN CRSP NLS MPTheres way more red on the tape than green Duh,negative
2020-12-30,SLB To Announce Advanced Buyout Discussions Underway In NYCNP OIA EGI FBMS SP DBVT BATRA GPP BY SSB LVMUY NUGL PPPMF VERI AEPT CPWR NEXA NEWM,positive
2020-12-30, VERI Veritone,positive
2020-12-29, What are some of my favorite playsSSSS  will buy until 20PLTR Palantir Peter Thiels Big Data snooping companyamp Coursera VERI  growing field like the growth for long term play,positive
2020-12-29,Stocks to watch Dec 30 thru Dec 31 nk veri amrn bb fsLy btai ceLh mei crsr rig srrk Lmnd acy uuu grpn cnr mgni omer meso spce maxr manu amp BIOL BIOLASE INC  stock tip BIOL,negative
2020-12-29,Stocks to watch Dec 29 thru Dec 31 rig crsr mei celh btai fsly bb amrn veri acy uavs nk amp BIOL BIOLASE INC ,positive
2020-12-29,VERI Has A Neutral Technical Analysis Score TA Score Breakdown Of 3 Categories candle score Weak moving average score Excellent momentum score Neutral stocks stock StockMarket Investment investing  ,neutral
2020-12-29,VERI  UPDATE Continued decline today currently 46 Shares are trying to hold at the red support level of 2760 which aligns with the 200 period EMA 30min candles Ascending purple wedge getting pinched Note the potential bullish HampS pattern with a neckline above 33  ,positive
2020-12-29, Oh lawd  VERI ,positive
2020-12-29,20 DMA Support today SYRS ICCC JAKK CLX PTGX YOLO VERI TGH LEDS OII HEAR BQ IFRX OTTR NSPR SAFT FRAF LAUR BBC UTL  ,positive
2020-12-29, CLSK 184280 Next would be MMEDF at 61 Third place UAVS purchased at 30 Fourth place is VERI purchased at 725 and last but not least would have to be TRUFF 05 and SIRC 05  Still own em all,positive
2020-12-29, What are some of my favorite playsRKT  like options going into 2021COOP  earnings SSSS  long holding access to PLTR Palantir Peter Thiels Big Data snooping company estimated valuation 20bnamp CourseraVERI  growing field like the growth for long term play,positive
2020-12-29,3404 high of day VERI  PT achieved  ,positive
2020-12-29,Most Volatile 1228OCGNYGMZMAGSAHTFLNTGOVXKOSSVVPRNLTXFTEKMGIVERIMDIATCONSGBXBRPAJMIASRACCLSDBCDASBEMECHTOOHQIORLADTEAARTWEVOLLLITCANHYREJPAQSTTHCBPIXYIDACCDACICGNCAELTKNTLAFEDUBCABVEROVISL,negative
2020-12-28,1229 Scan Watch ListAZN  starting at 4925MYOV  starting at 2840LCA  starting at 2650TPGY  starting at 2920VERI  starting at 3015MAXN  starting at 3015,positive
2020-12-28,28122020 1 Buy Trade Desk  844 TTD  Buy Square  224 SQ  Buy Sea Limited  18013 SE  Sell Veritone  3310 VERI todaytradings secondaryaccount stocks StocksToTrade scalping swingTrading,positive
2020-12-28,VERI company profile Fundamental and Technical Analysis Score Update FA Score TA Score stocks stock StockMarket Investment investing invest investor investors  ,positive
2020-12-28,VERI 301900 77081045,positive
2020-12-28,Rose Above Upper Bollinger Band today AKER FSM ACIO OEG NEE GNMK ALEX JEF RUN PHUN AMRH OPTT AEHL VERI ELF QCLN HMST HIMX PAYA BWACU  ,positive
2020-12-28,VERI bot some new position for me added to GRWG and SNAP,positive
2020-12-28,VERI  UPDATE Price cannot hold above the breakout level Very confusing price action here as shares have a massive 7 pullback intraday Currently 17 for the session Very tough to decide what to do at this point which is why I havent added to my position ,negative
2020-12-28,Yesterday I was hanging out in a public forum of stock investors As an experiment I purchased a lot of the names this morning Heres the list PRPL CLSK IPOC LGVW VERI BFT RUN ,positive
2020-12-28,VERI 331135  770 ,positive
2020-12-28, VERI  ,positive
2020-12-28,Most Volatile 1224CERTSUNWSQFTLIVXANTELGFAIDALGMPMVPCFBKAESEEGYRIDECBATSEERSQZKLDOFIIIUMRNADMYTYALASTKSSTIMQUIKHPRACRXTCLOAKIGCRICKCGROBWENVRCATCSAVCTVERIDNLIGRVYELVTATLCINDONVFYIOGMBLLAC,negative
2020-12-28,VERI  UPDATE Shares breaking out of the most recent consolidation but needs to hold above 32 Currently 3324 trading 945 higher Very encouraging but may face resistance again around the 35 level which is the peak from 1130 Holding  ,positive
2020-12-28,VERI  ,positive
2020-12-28,Crypto Always ETH THETA TFUEL then LTC LINK XLM and sometimes VERI,positive
2020-12-28,watching VERI over 3350,positive
2020-12-28,Let it bake watchlist  VERI STRL THC MRSN,positive
2020-12-28,boxl avgr vxrt aal novn nio opti fsr acb ibio sbe xpev wkhs sndl sunw pfe gme ino spy hexo xspa srne dkng hexo blnk cidm nbac dmyt ghmi veri rvlv psth apxt idexNNDM BFT MVIS UAVS FUBONNDM Breaking News Buy Now ,negative
2020-12-28, alerted AVXL 74  See Track Record ADXS BIOL TRCH POAI ILIKF BTC NK GTEC OBLN BLNK ONCT ARCT KNDI SOLO AQB TNXP GMDA VERI GIX CBAT SUNW AFMD PSNL,negative
